S.No,Product_Code,Cust_ID,IPC_Code,gram/product,Product_Type,Spring_Type,Material_Code,Material_Type,Material_Name,Grade,Finishing,Wire_dia,Coiling/Forming,Stress_Relieving,Coating,Grinding,Plating,Blackening
58,ATIRUM-ADULT CLIP SPRING-SF-809-0.80mm,C_006,ADULT CLIP SPRING-SF-809-0.80mm,,Spring,TORSION SPRING,Coil-ST Spring Steel-DH-0.80mm,Coil,ST Spring Steel,DH,,0.80mm,Coiling,Stress_Relieving,,,,
59,PLACKA-4/AFR/MS/RM/032-2.00 mm*30 mm-2.00mm,C_007,4/AFR/MS/RM/032-2.00 mm*30 mm-2.00mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DM-2.00mm,Coil,ST Spring Steel,DM,,2.00mm,Coiling,Stress_Relieving,,Grinding,Zinc_Blue,
60,PLACKA-4/AFR/MS/RM/033-2.50 mm * 30 mm-2.50mm,C_007,4/AFR/MS/RM/033-2.50 mm * 30 mm-2.50mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DM-2.50mm,Coil,ST Spring Steel,DM,,2.50mm,Coiling,Stress_Relieving,,Grinding,Zinc_Blue,
61,PLACKA-4/AFR/MS/RM/034-3.00 mm * 30 mm-3.00mm,C_007,4/AFR/MS/RM/034-3.00 mm * 30 mm-3.00mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DM-3.00mm,Coil,ST Spring Steel,DM,,3.00mm,Coiling,Stress_Relieving,,Grinding,Zinc_Blue,
62,PLACKA-4/AFR/MS/RM/035-3.20 mm * 30 mm-3.20mm,C_007,4/AFR/MS/RM/035-3.20 mm * 30 mm-3.20mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DM-3.20mm,Coil,ST Spring Steel,DM,,3.20mm,Coiling,Stress_Relieving,,Grinding,Zinc_Blue,
63,PLACKA-MAIN SPRING-5mm*45mm-5.00mm,C_007,MAIN SPRING-5mm*45mm-5.00mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DM-5.00mm,Coil,ST Spring Steel,DM,,5.00mm,Coiling,Stress_Relieving,,Grinding,Zinc_Blue,
64,PLACKA-MAIN VALVE SPRING-0.9*17 mm-1.00mm,C_007,MAIN VALVE SPRING-0.9*17 mm-1.00mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.00mm,Coil,SS Stainless Steel,304,Soap Coated,1.00mm,Coiling,Stress_Relieving,,,,
65,MURUGAPPA MORGAN-RESSORT SPRING-RE-08-95-1.00mm,C_008,RESSORT SPRING-RE-08-95-1.00mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.00mm,Coil,SS Stainless Steel,304,Soap Coated,1.00mm,Coiling,Stress_Relieving,,,,
66,SOUTHERN RAILWAYS-CONICAL COMPRESSION SPRING-0-0.40mm,C_009,CONICAL COMPRESSION SPRING-0-0.40mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.40mm,Coil,SS Stainless Steel,304,Bright,0.40mm,Coiling,Stress_Relieving,,,,
67,AKT PUMPS-GOVERNOR PRESS TYPE-MIM-02-0.70mm,C_036,GOVERNOR PRESS TYPE-MIM-02-0.70mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DM-0.70mm,Coil,ST Spring Steel,DM,,0.70mm,Coiling,Stress_Relieving,,,Zinc_Blue,
68,TM AUTOMOTIVE-CC21-STRAP(GR-3)-EIPA-21116-1.60mm,C_010,CC21-STRAP(GR-3)-EIPA-21116-1.60mm,,Spring,CLIP,Coil-ST Spring Steel-DH-1.60mm,Coil,ST Spring Steel,DH,,1.60mm,Forming,,,,,
69,TM AUTOMOTIVE-STRAP CLIP (HB WIRE)-E2RNH5-20145S-1.60mm,C_010,STRAP CLIP (HB WIRE)-E2RNH5-20145S-1.60mm,,Spring,CLIP,Coil-MS Mild Steel-CR2-1.60mm,Coil,MS Mild Steel,CR2,,1.60mm,Forming,,,,,
70,SGI AUTOMOTIVE-RECLINER HANDLE RETURN SPRING-EIPA-14102-1.60mm,C_011,RECLINER HANDLE RETURN SPRING-EIPA-14102-1.60mm,,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-1.60mm,Coil,ST Spring Steel,DH,,1.60mm,Coiling,Stress_Relieving,,,,Blackening
